country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Albania,ALB,2/5/2021,,,,,35,,,,12,Pfizer/BioNTech
Andorra,AND,2/5/2021,,,,,44,,,,569,Pfizer/BioNTech
Anguilla,AIA,2/5/2021,,,,,149,,,,9932,Oxford/AstraZeneca
Argentina,ARG,2/5/2021,,,,,16238,,,,359,Sputnik V
Austria,AUT,2/5/2021,277431,202160,50669,15352,9793,3.08,2.24,0.56,1087,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Azerbaijan,AZE,2/5/2021,,,,,3250,,,,321,"Oxford/AstraZeneca, Sputnik V"
Bahrain,BHR,2/5/2021,179550,179550,,2317,1391,10.55,10.55,,817,"Pfizer/BioNTech, Sinopharm/Beijing"
Bangladesh,BGD,2/5/2021,,,,,3059,,,,19,Oxford/AstraZeneca
Belgium,BEL,2/5/2021,439343,338927,100416,27794,17163,3.79,2.92,0.87,1481,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bermuda,BMU,2/5/2021,,,,,554,,,,8896,Pfizer/BioNTech
Bolivia,BOL,2/5/2021,,,,,743,,,,64,Sputnik V
Brazil,BRA,2/5/2021,3074906,3074906,,1849,200982,1.45,1.45,,946,"Oxford/AstraZeneca, Sinovac"
Bulgaria,BGR,2/5/2021,56860,39468,17392,2835,2294,0.82,0.57,0.25,330,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Canada,CAN,2/5/2021,1042171,,,27088,14976,2.76,,,397,"Moderna, Pfizer/BioNTech"
Cayman Islands,CYM,2/5/2021,,,,,310,,,,4717,Pfizer/BioNTech
Chile,CHL,2/5/2021,593292,580111,13181,168409,75141,3.1,3.03,0.07,3931,"Pfizer/BioNTech, Sinovac"
China,CHN,2/5/2021,,,,,1560452,,,,1084,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,2/5/2021,,,,,2007,,,,394,Pfizer/BioNTech
Croatia,HRV,2/5/2021,,,,,2406,,,,586,Pfizer/BioNTech
Cyprus,CYP,2/5/2021,32837,22813,10024,,1096,3.75,2.6,1.14,1251,Pfizer/BioNTech
Czechia,CZE,2/5/2021,349470,258380,91090,15700,11026,3.26,2.41,0.85,1030,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,2/5/2021,325044,194364,130680,15062,10975,5.61,3.36,2.26,1895,"Moderna, Pfizer/BioNTech"
England,,2/5/2021,10302620,9831897,470723,403577,371631,18.3,17.47,0.84,6602,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,EST,2/5/2021,49798,33927,15871,3604,2254,3.75,2.56,1.2,1699,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Faeroe Islands,FRO,2/5/2021,,,,,83,,,,1699,Pfizer/BioNTech
Finland,FIN,2/5/2021,207303,164636,42667,13386,7930,3.74,2.97,0.77,1431,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,2/5/2021,2077037,1843763,233274,114911,83199,3.06,2.72,0.34,1226,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,2/5/2021,3157437,2227757,929680,129946,112465,3.77,2.66,1.11,1342,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,GIB,2/5/2021,18274,13398,4876,1085,773,54.24,39.77,14.47,22944,Pfizer/BioNTech
Greece,GRC,2/5/2021,380136,306441,73695,20413,18110,3.65,2.94,0.71,1737,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Guernsey,GGY,2/5/2021,,,,,252,,,,3758,Pfizer/BioNTech
Hungary,HUN,2/5/2021,381062,279410,101652,23759,19025,3.94,2.89,1.05,1969,Pfizer/BioNTech
Iceland,ISL,2/5/2021,17515,12660,4855,,226,5.13,3.71,1.42,662,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
India,IND,2/5/2021,5416849,,,457404,273832,0.39,,,198,"Covaxin, Oxford/AstraZeneca"
Indonesia,IDN,2/5/2021,865609,744884,120725,68790,64187,0.32,0.27,0.04,235,Sinovac
Ireland,IRL,2/5/2021,230766,151212,79554,,7159,4.67,3.06,1.61,1450,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Isle of Man,IMN,2/5/2021,10224,8041,2183,11,481,12.02,9.46,2.57,5657,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,2/5/2021,5462721,3422560,2040161,62225,103516,63.11,39.54,23.57,11960,"Moderna, Pfizer/BioNTech"
Italy,ITA,2/5/2021,2470013,1409414,1060599,102051,89038,4.09,2.33,1.75,1473,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Jersey,JEY,2/5/2021,,,,,770,,,,7618,"Oxford/AstraZeneca, Pfizer/BioNTech"
Latvia,LVA,2/5/2021,31559,17807,13752,1667,1204,1.67,0.94,0.73,638,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Liechtenstein,LIE,2/5/2021,,,,,26,,,,682,"Moderna, Pfizer/BioNTech"
Lithuania,LTU,2/5/2021,124362,78781,45581,7193,4424,4.57,2.89,1.67,1625,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,LUX,2/5/2021,,,,,728,,,,1163,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Maldives,MDV,2/5/2021,4269,,,1065,1130,0.79,,,2090,Oxford/AstraZeneca
Malta,MLT,2/5/2021,35676,28082,7594,2199,1408,8.08,6.36,1.72,3189,Pfizer/BioNTech
Mexico,MEX,2/5/2021,700316,636070,64246,5228,5443,0.54,0.49,0.05,42,Pfizer/BioNTech
Morocco,MAR,2/5/2021,408235,,,56512,51891,1.11,,,1406,"Oxford/AstraZeneca, Sinopharm/Beijing"
Netherlands,NLD,2/5/2021,356517,,,26023,26958,2.08,,,1573,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Ireland,,2/5/2021,316420,289889,26531,15141,12601,16.71,15.31,1.4,6654,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,2/5/2021,219997,174771,45226,15169,13165,4.06,3.22,0.83,2428,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,2/5/2021,,,,,175,,,,34,"Oxford/AstraZeneca, Pfizer/BioNTech"
Pakistan,PAK,2/5/2021,,,,,3404,,,,15,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Panama,PAN,2/5/2021,12441,,,13,524,0.29,,,121,Pfizer/BioNTech
Poland,POL,2/5/2021,1617764,1193034,424730,51160,68098,4.27,3.15,1.12,1799,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,2/5/2021,,,,,8008,,,,785,"Moderna, Pfizer/BioNTech"
Romania,ROU,2/5/2021,821552,638886,182666,26757,24936,4.27,3.32,0.95,1296,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,2/5/2021,,,,,103571,,,,710,Sputnik V
Saudi Arabia,SAU,2/5/2021,,,,,7238,,,,208,Pfizer/BioNTech
Scotland,,2/5/2021,796759,786427,10332,44718,35107,14.58,14.39,0.19,6426,"Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,SRB,2/5/2021,538373,538373,,11443,15373,7.91,7.91,,2259,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,SYC,2/5/2021,,,,,1089,,,,11074,"Oxford/AstraZeneca, Sinopharm/Beijing"
Singapore,SGP,2/5/2021,,,,,10725,,,,1833,Pfizer/BioNTech
Slovakia,SVK,2/5/2021,214041,183591,30450,15045,9552,3.92,3.36,0.56,1750,Pfizer/BioNTech
Slovenia,SVN,2/5/2021,97960,54805,43155,5577,2703,4.71,2.64,2.08,1300,"Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,ESP,2/5/2021,,,,,72558,,,,1552,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sri Lanka,LKA,2/5/2021,156310,,,9983,21575,0.73,,,1008,Oxford/AstraZeneca
Sweden,SWE,2/5/2021,343872,286853,57019,,8171,3.4,2.84,0.56,809,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,2/5/2021,,,,,18354,,,,2121,"Moderna, Pfizer/BioNTech"
Turkey,TUR,2/5/2021,2559802,,,58996,90207,3.04,,,1070,Sinovac
Turks and Caicos Islands,TCA,2/5/2021,,,,,222,,,,5734,Pfizer/BioNTech
United Arab Emirates,ARE,2/5/2021,,,,,145536,,,,14715,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,GBR,2/5/2021,11975267,11465210,510057,498227,445128,17.64,16.89,0.75,6557,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,2/5/2021,36819212,28909497,7503864,1615502,1276364,11.01,8.64,2.24,3816,"Moderna, Pfizer/BioNTech"
Wales,,2/5/2021,559468,556997,2471,34791,25788,17.74,17.67,0.08,8179,"Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,ALB,2/6/2021,,,,,47,,,,16,Pfizer/BioNTech
Andorra,AND,2/6/2021,,,,,39,,,,505,Pfizer/BioNTech
Anguilla,AIA,2/6/2021,,,,,149,,,,9932,Oxford/AstraZeneca
Argentina,ARG,2/6/2021,471383,307501,163882,,15000,1.04,0.68,0.36,332,Sputnik V
Austria,AUT,2/6/2021,284578,208144,62123,7147,9133,3.16,2.31,0.69,1014,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Azerbaijan,AZE,2/6/2021,65000,65000,,,3250,0.64,0.64,,321,"Oxford/AstraZeneca, Sputnik V"
Bahrain,BHR,2/6/2021,182543,182543,,2993,1730,10.73,10.73,,1017,"Pfizer/BioNTech, Sinopharm/Beijing"
Bangladesh,BGD,2/6/2021,,,,,3059,,,,19,Oxford/AstraZeneca
Belgium,BEL,2/6/2021,445397,340125,105272,6054,17397,3.84,2.93,0.91,1501,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bermuda,BMU,2/6/2021,9095,7504,1591,,600,14.61,12.05,2.55,9635,Pfizer/BioNTech
Bolivia,BOL,2/6/2021,,,,,857,,,,73,Sputnik V
Brazil,BRA,2/6/2021,3401383,3399421,1962,326477,199739,1.6,1.6,0,940,"Oxford/AstraZeneca, Sinovac"
Bulgaria,BGR,2/6/2021,57016,39624,17392,156,2285,0.82,0.57,0.25,329,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Canada,CAN,2/6/2021,,922234,173804,,15805,,2.44,0.46,419,"Moderna, Pfizer/BioNTech"
Cayman Islands,CYM,2/6/2021,,,,,345,,,,5250,Pfizer/BioNTech
Chile,CHL,2/6/2021,620640,607454,13186,27348,79048,3.25,3.18,0.07,4135,"Pfizer/BioNTech, Sinovac"
China,CHN,2/6/2021,,,,,1738321,,,,1208,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,2/6/2021,,,,,2167,,,,425,Pfizer/BioNTech
Croatia,HRV,2/6/2021,,,,,2411,,,,587,Pfizer/BioNTech
Cyprus,CYP,2/6/2021,,,,,1483,,,,1693,Pfizer/BioNTech
Czechia,CZE,2/6/2021,352598,259212,93386,3128,11219,3.29,2.42,0.87,1048,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,2/6/2021,332640,195387,137253,7596,10022,5.74,3.37,2.37,1730,"Moderna, Pfizer/BioNTech"
England,,2/6/2021,10761539,10290215,471324,458919,358628,19.12,18.28,0.84,6371,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,EST,2/6/2021,52868,35492,17376,3070,2234,3.99,2.68,1.31,1684,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Faeroe Islands,FRO,2/6/2021,4657,4051,606,,83,9.53,8.29,1.24,1699,Pfizer/BioNTech
Finland,FIN,2/6/2021,217844,169194,48650,10541,7938,3.93,3.05,0.88,1433,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,2/6/2021,2109641,1866091,243550,32604,83466,3.11,2.75,0.36,1230,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,2/6/2021,3258881,2274441,984440,101444,114759,3.89,2.71,1.17,1370,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,GIB,2/6/2021,19072,13499,5573,798,887,56.61,40.07,16.54,26328,Pfizer/BioNTech
Greece,GRC,2/6/2021,397857,318097,79760,17721,18081,3.82,3.05,0.77,1735,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Guernsey,GGY,2/6/2021,9947,,,,252,14.83,,,3758,Pfizer/BioNTech
Hungary,HUN,2/6/2021,391621,286379,105242,10559,16113,4.05,2.96,1.09,1668,Pfizer/BioNTech
Iceland,ISL,2/6/2021,,,,,204,,,,598,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
India,IND,2/6/2021,5775322,,,358473,290141,0.42,,,210,"Covaxin, Oxford/AstraZeneca"
Indonesia,IDN,2/6/2021,914303,777096,137207,48694,58764,0.33,0.28,0.05,215,Sinovac
Ireland,IRL,2/6/2021,,,,,6486,,,,1314,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Isle of Man,IMN,2/6/2021,10852,8669,2183,628,519,12.76,10.19,2.57,6104,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,2/6/2021,5505015,3443391,2061624,42294,98595,63.6,39.78,23.82,11391,"Moderna, Pfizer/BioNTech"
Italy,ITA,2/6/2021,2545093,1423732,1121361,75080,87027,4.21,2.35,1.85,1439,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Jersey,JEY,2/6/2021,,,,,826,,,,8172,"Oxford/AstraZeneca, Pfizer/BioNTech"
Latvia,LVA,2/6/2021,32125,17815,14310,566,1241,1.7,0.94,0.76,658,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Liechtenstein,LIE,2/6/2021,,,,,26,,,,682,"Moderna, Pfizer/BioNTech"
Lithuania,LTU,2/6/2021,125084,78848,46236,722,4437,4.59,2.9,1.7,1630,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,LUX,2/6/2021,,,,,736,,,,1176,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Maldives,MDV,2/6/2021,6854,,,2585,1494,1.27,,,2764,Oxford/AstraZeneca
Malta,MLT,2/6/2021,37586,28837,8749,1910,1534,8.51,6.53,1.98,3474,Pfizer/BioNTech
Mexico,MEX,2/6/2021,710198,637098,73100,9882,5699,0.55,0.49,0.06,44,Pfizer/BioNTech
Morocco,MAR,2/6/2021,463966,,,55731,53424,1.26,,,1447,"Oxford/AstraZeneca, Sinopharm/Beijing"
Netherlands,NLD,2/6/2021,382975,,,26458,30133,2.24,,,1759,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Ireland,,2/6/2021,323122,295915,27207,6702,12028,17.06,15.63,1.44,6352,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,2/6/2021,221500,175543,45957,1503,13337,4.09,3.24,0.85,2460,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,2/6/2021,,,,,175,,,,34,"Oxford/AstraZeneca, Pfizer/BioNTech"
Pakistan,PAK,2/6/2021,,,,,3404,,,,15,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Panama,PAN,2/6/2021,12441,,,0,524,0.29,,,121,Pfizer/BioNTech
Poland,POL,2/6/2021,1641158,1200793,440365,23394,69175,4.34,3.17,1.16,1828,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,2/6/2021,379378,284462,94916,,7021,3.72,2.79,0.93,689,"Moderna, Pfizer/BioNTech"
Romania,ROU,2/6/2021,840812,647690,193122,19260,24059,4.37,3.37,1,1251,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,2/6/2021,,,,,103571,,,,710,Sputnik V
Saudi Arabia,SAU,2/6/2021,,,,,4966,,,,143,Pfizer/BioNTech
Scotland,,2/6/2021,849848,839266,10582,53089,39398,15.56,15.36,0.19,7211,"Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,SRB,2/6/2021,,,,,14844,,,,2181,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,SYC,2/6/2021,39175,37589,1586,,987,39.84,38.22,1.61,10037,"Oxford/AstraZeneca, Sinopharm/Beijing"
Singapore,SGP,2/6/2021,,,,,10564,,,,1806,Pfizer/BioNTech
Slovakia,SVK,2/6/2021,216825,185679,31146,2784,9750,3.97,3.4,0.57,1786,Pfizer/BioNTech
Slovenia,SVN,2/6/2021,98560,54833,43727,600,2774,4.74,2.64,2.1,1334,"Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,ESP,2/6/2021,,,,,71691,,,,1533,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sri Lanka,LKA,2/6/2021,160148,,,3838,17475,0.75,,,816,Oxford/AstraZeneca
Sweden,SWE,2/6/2021,,,,,7932,,,,785,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,2/6/2021,,,,,16165,,,,1868,"Moderna, Pfizer/BioNTech"
Turkey,TUR,2/6/2021,2601717,,,41915,91551,3.08,,,1086,Sinovac
Turks and Caicos Islands,TCA,2/6/2021,,,,,222,,,,5734,Pfizer/BioNTech
United Arab Emirates,ARE,2/6/2021,4201347,,,,155311,42.48,,,15703,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,GBR,2/6/2021,12526737,12015018,511719,551470,436908,18.45,17.7,0.75,6436,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,2/6/2021,39037964,30250964,8317180,2218752,1351437,11.67,9.05,2.49,4041,"Moderna, Pfizer/BioNTech"
Wales,,2/6/2021,592228,589622,2606,32760,26854,18.78,18.7,0.08,8517,"Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,ALB,2/7/2021,,,,,59,,,,21,Pfizer/BioNTech
Andorra,AND,2/7/2021,,,,,34,,,,440,Pfizer/BioNTech
Anguilla,AIA,2/7/2021,,,,,149,,,,9932,Oxford/AstraZeneca
Argentina,ARG,2/7/2021,501152,319316,181836,29769,18576,1.11,0.71,0.4,411,Sputnik V
Austria,AUT,2/7/2021,289954,210239,66621,5376,9309,3.22,2.33,0.74,1034,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bahrain,BHR,2/7/2021,191406,191406,,8863,2834,11.25,11.25,,1666,"Pfizer/BioNTech, Sinopharm/Beijing"
Bangladesh,BGD,2/7/2021,31160,31160,,,3059,0.02,0.02,,19,Oxford/AstraZeneca
Belgium,BEL,2/7/2021,448311,340426,107885,2914,17686,3.87,2.94,0.93,1526,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bermuda,BMU,2/7/2021,,,,,557,,,,8944,Pfizer/BioNTech
Bolivia,BOL,2/7/2021,,,,,971,,,,83,Sputnik V
Brazil,BRA,2/7/2021,3553681,3534004,19677,152298,211375,1.67,1.66,0.01,994,"Oxford/AstraZeneca, Sinovac"
Bulgaria,BGR,2/7/2021,57038,39646,17392,22,2273,0.82,0.57,0.25,327,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Canada,CAN,2/7/2021,,,,,16634,,,,441,"Moderna, Pfizer/BioNTech"
Cayman Islands,CYM,2/7/2021,,,,,380,,,,5782,Pfizer/BioNTech
Chile,CHL,2/7/2021,629169,615983,13186,8529,80266,3.29,3.22,0.07,4199,"Pfizer/BioNTech, Sinovac"
China,CHN,2/7/2021,,,,,1916190,,,,1331,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,2/7/2021,,,,,2327,,,,457,Pfizer/BioNTech
Croatia,HRV,2/7/2021,,,,,2415,,,,588,Pfizer/BioNTech
Cyprus,CYP,2/7/2021,,,,,1870,,,,2135,Pfizer/BioNTech
Czechia,CZE,2/7/2021,355732,260036,95696,3134,11407,3.32,2.43,0.89,1065,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,2/7/2021,338190,197299,140891,5550,8867,5.84,3.41,2.43,1531,"Moderna, Pfizer/BioNTech"
England,,2/7/2021,10991365,10519729,471636,229826,349729,19.53,18.69,0.84,6213,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,EST,2/7/2021,53424,35905,17519,556,2196,4.03,2.71,1.32,1655,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Faeroe Islands,FRO,2/7/2021,,,,,80,,,,1637,Pfizer/BioNTech
Finland,FIN,2/7/2021,220116,170335,49781,2272,8157,3.97,3.07,0.9,1472,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,2/7/2021,2120218,1871604,248614,10577,83798,3.13,2.76,0.37,1235,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,2/7/2021,3317540,2306998,1010542,58659,114229,3.96,2.75,1.21,1363,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,GIB,2/7/2021,19072,13499,5573,0,827,56.61,40.07,16.54,24547,Pfizer/BioNTech
Greece,GRC,2/7/2021,,,,,17880,,,,1715,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Hungary,HUN,2/7/2021,396634,289042,107592,5013,13928,4.11,2.99,1.11,1442,Pfizer/BioNTech
Iceland,ISL,2/7/2021,,,,,182,,,,533,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
India,IND,2/7/2021,5812362,,,37040,293360,0.42,,,213,"Covaxin, Oxford/AstraZeneca"
Indonesia,IDN,2/7/2021,923449,784318,139131,9146,58253,0.34,0.29,0.05,213,Sinovac
Ireland,IRL,2/7/2021,240487,153654,86833,,5812,4.87,3.11,1.76,1177,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Isle of Man,IMN,2/7/2021,11247,9063,2184,395,524,13.23,10.66,2.57,6162,"Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,2/7/2021,5623804,3495989,2127815,118789,96691,64.97,40.39,24.58,11171,"Moderna, Pfizer/BioNTech"
Italy,ITA,2/7/2021,2584923,1432665,1152258,39830,84297,4.28,2.37,1.91,1394,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Jersey,JEY,2/7/2021,21007,17829,3178,,881,20.78,17.64,3.14,8716,"Oxford/AstraZeneca, Pfizer/BioNTech"
Latvia,LVA,2/7/2021,32250,17817,14433,125,1150,1.71,0.94,0.77,610,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Liechtenstein,LIE,2/7/2021,,,,,26,,,,682,"Moderna, Pfizer/BioNTech"
Lithuania,LTU,2/7/2021,125181,78851,46330,97,4450,4.6,2.9,1.7,1635,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,LUX,2/7/2021,17628,13940,3688,,743,2.82,2.23,0.59,1187,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Maldives,MDV,2/7/2021,9752,,,2898,1774,1.8,,,3282,Oxford/AstraZeneca
Malta,MLT,2/7/2021,39257,29339,9918,1671,1643,8.89,6.64,2.25,3721,Pfizer/BioNTech
Mexico,MEX,2/7/2021,713517,637681,75836,3319,5741,0.55,0.49,0.06,45,Pfizer/BioNTech
Morocco,MAR,2/7/2021,,,,,54437,,,,1475,"Oxford/AstraZeneca, Sinopharm/Beijing"
Netherlands,NLD,2/7/2021,414198,,,31223,33987,2.42,,,1983,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Northern Ireland,,2/7/2021,330941,303478,27463,7819,12074,17.48,16.03,1.45,6376,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,2/7/2021,222111,175860,46251,611,13406,4.1,3.24,0.85,2473,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,OMN,2/7/2021,,,,,175,,,,34,"Oxford/AstraZeneca, Pfizer/BioNTech"
Pakistan,PAK,2/7/2021,,,,,3404,,,,15,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Panama,PAN,2/7/2021,12441,,,0,524,0.29,,,121,Pfizer/BioNTech
Poland,POL,2/7/2021,1656708,1206212,450496,15550,68543,4.38,3.19,1.19,1811,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,PRT,2/7/2021,394088,290302,103786,14710,8188,3.86,2.85,1.02,803,"Moderna, Pfizer/BioNTech"
Romania,ROU,2/7/2021,856322,656177,200145,15510,23558,4.45,3.41,1.04,1225,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Russia,RUS,2/7/2021,,,,,103571,,,,710,Sputnik V
Saudi Arabia,SAU,2/7/2021,443153,,,,2694,1.27,,,77,Pfizer/BioNTech
Scotland,,2/7/2021,877513,866823,10690,27665,41967,16.06,15.87,0.2,7682,"Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,SRB,2/7/2021,544209,544209,,,12472,8,8,,1833,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,SYC,2/7/2021,,,,,966,,,,9823,"Oxford/AstraZeneca, Sinopharm/Beijing"
Singapore,SGP,2/7/2021,,,,,10404,,,,1778,Pfizer/BioNTech
Slovakia,SVK,2/7/2021,217005,185859,31146,180,9736,3.97,3.4,0.57,1783,Pfizer/BioNTech
Slovenia,SVN,2/7/2021,98560,54833,43727,0,2773,4.74,2.64,2.1,1334,"Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,ESP,2/7/2021,2105033,1318626,786407,,70825,4.5,2.82,1.68,1515,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sri Lanka,LKA,2/7/2021,161773,,,1625,14660,0.76,,,685,Oxford/AstraZeneca
Sweden,SWE,2/7/2021,,,,,7694,,,,762,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,2/7/2021,412865,,,,13976,4.77,,,1615,"Moderna, Pfizer/BioNTech"
Turkey,TUR,2/7/2021,2610496,,,8779,89180,3.1,,,1057,Sinovac
Turks and Caicos Islands,TCA,2/7/2021,,,,,222,,,,5734,Pfizer/BioNTech
United Arab Emirates,ARE,2/7/2021,4313868,,,112521,139958,43.62,,,14151,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,GBR,2/7/2021,12806587,12294006,512581,279850,430859,18.86,18.11,0.76,6347,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,2/7/2021,41210937,31579100,9147185,2172973,1441091,12.32,9.44,2.74,4309,"Moderna, Pfizer/BioNTech"
Wales,,2/7/2021,606768,603976,2792,14540,27089,19.24,19.16,0.09,8592,"Oxford/AstraZeneca, Pfizer/BioNTech"
Albania,ALB,2/8/2021,,,,,71,,,,25,Pfizer/BioNTech
Andorra,AND,2/8/2021,,,,,28,,,,362,Pfizer/BioNTech
Anguilla,AIA,2/8/2021,,,,,149,,,,9932,Oxford/AstraZeneca
Argentina,ARG,2/8/2021,511582,322318,189264,10430,19390,1.13,0.71,0.42,429,Sputnik V
Austria,AUT,2/8/2021,298195,212062,71135,8241,10056,3.31,2.35,0.79,1117,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bahrain,BHR,2/8/2021,201116,201116,,9710,4029,11.82,11.82,,2368,"Pfizer/BioNTech, Sinopharm/Beijing"
